Date,Value
5/24/2019,904057
5/25/2019,839949
5/26/2019,763094
5/27/2019,941733
5/28/2019,910535
5/29/2019,947509
5/30/2019,891907
5/31/2019,870676
06-01-2019,956751
06-02-2019,890894
06-03-2019,889067
06-04-2019,891955
06-05-2019,799392
06-06-2019,824817
06-07-2019,758454
06-08-2019,992653
06-09-2019,715741
06-10-2019,963694
06-11-2019,930038
06-12-2019,860682
6/13/2019,749758
6/14/2019,825364
6/15/2019,938952
6/16/2019,888979
6/17/2019,944094
6/18/2019,850016
6/19/2019,886054
6/20/2019,985024
6/21/2019,777627
6/22/2019,758133
6/23/2019,773499
6/24/2019,809637
6/25/2019,932194
6/26/2019,848601
6/27/2019,814118
6/28/2019,1004170
6/29/2019,733337
6/30/2019,685958
07-01-2019,951985
07-02-2019,895054
07-03-2019,753227
07-04-2019,747514
07-05-2019,849080
07-06-2019,754040
07-07-2019,582067
07-08-2019,809796
07-09-2019,771955
07-10-2019,736096
