Date,Value
6/14/2016,50335
6/15/2016,43251
6/16/2016,43392
6/17/2016,66558
6/18/2016,63083
6/19/2016,51035
6/20/2016,47118
6/21/2016,47323
6/22/2016,48615
6/23/2016,41908
6/24/2016,45331
6/25/2016,36684
6/26/2016,41613
6/27/2016,39663
6/28/2016,43089
6/29/2016,49897
6/30/2016,63952
07-01-2016,40085
07-02-2016,39257
07-03-2016,39757
07-04-2016,39950
07-05-2016,39270
07-06-2016,37900
07-07-2016,40433
07-08-2016,42506
07-09-2016,40410
07-10-2016,39358
07-11-2016,38582
07-12-2016,40811
7/13/2016,35740
7/14/2016,42809
7/15/2016,41110
7/16/2016,38062
7/17/2016,33914
7/18/2016,39198
7/19/2016,44184
7/20/2016,50631
7/21/2016,44882
7/22/2016,48458
7/23/2016,45006
7/24/2016,58215
7/25/2016,54856
7/26/2016,61930
7/27/2016,53035
7/28/2016,48555
7/29/2016,47243
7/30/2016,42011
7/31/2016,48749
08-01-2016,45978
08-02-2016,49041
08-03-2016,49475
08-04-2016,46761
08-05-2016,43212
08-06-2016,41487
08-07-2016,42955
08-08-2016,42984
08-09-2016,47057
08-10-2016,46290
08-11-2016,48171
08-12-2016,44400
8/13/2016,41088
8/14/2016,40577
8/15/2016,42302
8/16/2016,48949
8/17/2016,44867
8/18/2016,47799
8/19/2016,42948
8/20/2016,41318
8/21/2016,42543
8/22/2016,44250
8/23/2016,48430
8/24/2016,46821
8/25/2016,49868
8/26/2016,47292
8/27/2016,47938
8/28/2016,42607
8/29/2016,45510
8/30/2016,46979
8/31/2016,45846
09-01-2016,47491
09-02-2016,55413
09-03-2016,44792
09-04-2016,48128
09-05-2016,42667
09-06-2016,49102
09-07-2016,48701
09-08-2016,55970
09-09-2016,53918
09-10-2016,42875
09-11-2016,43345
09-12-2016,45123
9/13/2016,42591
9/14/2016,53859
9/15/2016,52622
9/16/2016,57532
9/17/2016,46882
9/18/2016,37893
9/19/2016,40505
9/20/2016,54067
9/21/2016,44549
9/22/2016,52657
9/23/2016,35219
9/24/2016,43418
9/25/2016,38713
9/26/2016,43514
9/27/2016,46817
9/28/2016,42797
9/29/2016,40416
9/30/2016,35836
10-01-2016,53076
10-02-2016,51105
10-03-2016,47672
10-04-2016,56662
10-05-2016,41719
10-06-2016,36826
10-07-2016,43708
10-08-2016,37690
10-09-2016,43940
10-10-2016,44940
10-11-2016,41053
10-12-2016,30002
10/13/2016,32244
10/14/2016,42006
10/15/2016,33662
10/16/2016,34990
10/17/2016,38136
10/18/2016,51898
10/19/2016,38497
10/20/2016,43438
10/21/2016,57780
10/22/2016,37772
10/23/2016,35364
10/24/2016,52547
10/25/2016,47610
10/26/2016,45158
10/27/2016,44353
10/28/2016,41522
10/29/2016,40011
10/30/2016,39435
10/31/2016,45031
11-01-2016,49025
11-02-2016,43519
11-03-2016,42346
11-04-2016,32572
11-05-2016,37690
11-06-2016,34391
11-07-2016,41941
11-08-2016,41569
11-09-2016,40517
11-10-2016,40164
11-11-2016,41070
11-12-2016,40882
11/13/2016,43673
11/14/2016,43876
11/15/2016,45330
11/16/2016,41684
11/17/2016,40738
11/18/2016,43785
11/19/2016,39289
11/20/2016,42125
11/21/2016,42735
11/22/2016,53585
11/23/2016,64289
11/24/2016,36861
11/25/2016,58075
11/26/2016,40804
11/27/2016,44449
11/28/2016,48388
11/29/2016,47036
11/30/2016,39178
12-01-2016,37121
12-02-2016,41642
12-03-2016,41357
12-04-2016,39643
12-05-2016,41613
